texto,sentimento
o livro chegou bastante 'entortado',insatisfação
"o livro de dale carnegie é um clássico da auto-ajuda e por isso tive receio ao comprá-lo, pois imaginava uma pilha de clichês que me seriam pouco úteis. percebi que não é apenas um livro para vender melhor, embora possa ser lido assim. não é um livro para tímidos desabrocharem, embora possa ser lido assim. foi surpreendente perceber que, para além da auto-ajuda, há um método e um interesse genuíno no auxílio à melhora das interações sociais.",satisfação
"confesso que sempre tenho um preconceito com livros com títulos similares, mas se tivesse lido esse livro 10 anos atrás eu teria me poupado de um duro aprendizado cheio de pancadas. o livro é fornece uma análise interessante das relações humanas, tem muitos exemplos e continua bastante relevante, não tem como não se tornar melhor depois de ler.",satisfação
"já tinha lido outro livro do dale carnegie antes, ""como falar em público e influenciar pessoas no mundo dos negócios"". é um livro leve, com muitos exemplos reais e histórias interessantes, o que me fez criar a expectativa de que ""como fazer amigos e influenciar pessoas"" seria parecido. e nesses aspectos, é bem parecido mesmo.sinto humildade na escrita do autor, mesmo nos momentos quando ele se vangloria do seu método ser eficiente, o que prova que ele realmente se tornou alguém que sabe passar suas ideias da melhor forma possível. basicamente, esse livro trata de como melhorar sua comunicação, e te faz enxergar de maneira implícita, que dialogar com alguém também é uma questão de estratégia.os temas de alguns capítulos às vezes convergem e fica difícil perceber alguma distinção entre eles, porém isso não atrapalha muito, pois a leitura é divertida e os exemplos variam.sei que, no fim das contas, esse é um livro tão consagrado que essa minha resenha não vai fazer diferença alguma se você vai comprá-lo ou não, mas de todo modo, recomendo demais a leitura!",satisfação
"clássico atemporal publicado pela primeira vez em 1937, um dos livros mais lidos do mundo, dale carnegie propõe 30 princípios fundamentais para:- lidar com as pessoas;- conquistar novas amizades;- influenciar pessoas a pensarem do seu modo;- como ser um líder.apresentando técnicas e estratégias fundamentais.este livro é indicado para qualquer pessoa que pode ser usado tanto na vida profissional como na vida pessoal. um dos melhores livros de desenvolvimento pessoal.",satisfação
"o livro atribui boas estratégias, mas identifiquei que os vários exemplos que o autor oferece para você visualizar a situação não passam de uma forma de ocupar páginas. em algumas partes, você encontra mais de três histórias extensas apenas para entender como você deve trocar um jeito de falar por outro.estou tendo que ler o livro pulando conteúdo e sublinhando a parte que ele comenta do assunto prático. acredito que existam vários outros livros bem mais curtos que atribuem o mesmo conteúdo de uma forma muito mais direta do que esse.em compensação, o livro veio novo e em ótima qualidade de impressão.",insatisfação
tem algumas lições interessantes. mas virou um livro datado que vem perdendo força. poderia ser enxugado em um podcast de 20 minutos.,neutro
"vi uma uma recomendação do buffet, que disse que esse livro mudou sua vida. vale a leitura. já li pela segunda vez. vou aplicar para o resto da vida.",satisfação
"o livro chegou em ótimo estado ( como era de se esperar), foi entregue muito antes do prazo previsto. se tratando da leitura: comecei a ler em pdf, mas preferi comprar, como estudante da área de administração o livro vai ser riquíssimo, ajuda também para toda a vida. recomendo a compra.",satisfação
"o conteúdo desse livro nos gera uma reavaliação comportamental e uma mudança de mentalidade. somo criados de uma forma e costumamos agir pelos nossos próprios interesses ao invés de levarmos em conta os interesses do próximo. todos os relatos citados no livro são de grande importância para uma melhora nas relações interpessoais e um grande aprendizado. o começo é mais surpreendente e em alguns momentos o livro parece se repetir, mas isso não tira a eficácia que o conteúdo nos traz.",satisfação
